x	intensity
1.037195312999999942e+03	5.664918475397500686e+01
1.035462890999999900e+03	6.045527335639801692e+01
1.033730469000000085e+03	6.464948987840433858e+01
1.031996094000000085e+03	5.955503043495623672e+01
1.030263672000000042e+03	4.256157778431634142e+01
1.028529297000000042e+03	6.071469687063790843e+01
1.026792969000000085e+03	7.353236149385755027e+01
1.025058594000000085e+03	7.569050624063599741e+01
1.023324218999999971e+03	6.624240519801413996e+01
1.021587891000000013e+03	6.992929385484724492e+01
1.019851563000000056e+03	6.603458237483458504e+01
1.018115233999999987e+03	6.644050666531902039e+01
1.016376952999999958e+03	7.125874536008402060e+01
1.014640625000000000e+03	6.209776462332705904e+01
1.012902343999999971e+03	5.721553315836536058e+01
1.011164063000000056e+03	7.063271903779806848e+01
1.009425781000000029e+03	6.199241373336902683e+01
1.007687500000000000e+03	5.367837821479380267e+01
1.005947266000000013e+03	6.544552564708450859e+01
1.004208983999999987e+03	4.958149107960568358e+01
1.002468750000000000e+03	6.010308906712153032e+01
1.000728516000000013e+03	7.195334174981226738e+01
9.989863279999999577e+02	5.332847701560609011e+01
9.972460939999999709e+02	6.998218392007751731e+01
9.955039060000000291e+02	3.884817225733070245e+01
9.937617189999999709e+02	7.126146446383442878e+01
9.920195310000000291e+02	5.711540225358633904e+01
9.902753910000000133e+02	4.030675384442290010e+01
9.885332029999999577e+02	6.107506145941266595e+01
9.867890630000000556e+02	6.707091168644517154e+01
9.850449220000000423e+02	5.653261947119105457e+01
9.833007810000000291e+02	5.916499196145014139e+01
9.815566410000000133e+02	6.218620806160220127e+01
9.798105470000000423e+02	7.829488872876119387e+01
9.780644529999999577e+02	6.898779717236908482e+01
9.763183589999999867e+02	6.584900309972434229e+01
9.745722660000000133e+02	7.464086792653452562e+01
9.728261720000000423e+02	5.551591639115284238e+01
9.710781250000000000e+02	5.607342756274201179e+01
9.693320310000000291e+02	4.335729296859386750e+01
9.675839839999999867e+02	5.996253283048338290e+01
9.658339839999999867e+02	4.498430613965450675e+01
9.640859380000000556e+02	4.966587686062098328e+01
9.623378910000000133e+02	7.983957686870743942e+01
